Model	Subtype	true.neg	false.neg	false.pos	true.pos	Sensitivity	Specificity	Precision
NOCGH	BN2	466	5	2	101	0.952830188679245	0.995726495726496	0.980582524271845
NOCGH	EZB	476	11	11	76	0.873563218390805	0.97741273100616	0.873563218390805
NOCGH	MCD	461	6	14	93	0.939393939393939	0.970526315789474	0.869158878504673
NOCGH	N1	555	0	0	19	1	1	1
NOCGH	ST2	524	8	15	27	0.771428571428571	0.972170686456401	0.642857142857143
Full	BN2	465	3	5	101	0.971153846153846	0.98936170212766	0.952830188679245
Full	EZB	487	2	0	85	0.977011494252874	1	1
Full	MCD	473	5	5	91	0.947916666666667	0.989539748953975	0.947916666666667
Full	N1	555	0	0	19	1	1	1
Full	ST2	523	8	16	27	0.771428571428571	0.970315398886827	0.627906976744186
Full	A53	511	0	6	57	1	0.988394584139265	0.904761904761905
NoFus	BN2	457	20	13	84	0.807692307692308	0.972340425531915	0.865979381443299
NoFus	EZB	484	8	3	79	0.908045977011494	0.993839835728953	0.963414634146341
NoFus	MCD	472	6	6	90	0.9375	0.98744769874477	0.9375
NoFus	N1	555	0	0	19	1	1	1
NoFus	ST2	525	8	14	27	0.771428571428571	0.974025974025974	0.658536585365854
NoFus	A53	511	0	6	57	1	0.988394584139265	0.904761904761905
NoBCL2Fus	BN2	465	4	5	100	0.961538461538462	0.98936170212766	0.952380952380952
NoBCL2Fus	EZB	485	9	2	78	0.896551724137931	0.995893223819302	0.975
NoBCL2Fus	MCD	473	5	5	91	0.947916666666667	0.989539748953975	0.947916666666667
NoBCL2Fus	N1	555	0	0	19	1	1	1
NoBCL2Fus	ST2	524	8	15	27	0.771428571428571	0.972170686456401	0.642857142857143
NoBCL2Fus	A53	511	0	6	57	1	0.988394584139265	0.904761904761905
