patient	vaf
198	NULL
260	NULL
439	NULL
PAN103	NULL
PAN109	NULL
PAN144	NULL
PAN50	NULL
PAN52	NULL
PAN54	NULL
PAN56	NULL
PAN60	NULL
PAN66	0.523276
PAN67	0.453242
PAN74	0.596057
PAN75	0.456788
PT003	NULL
PT004	0.548903
PT005	0.426897
PT007	0.425446
PT009	0.368304
PT011	0.175216
PT012	0.394634
PT013	0.464035
PT015	NULL
PT017	0.459716
PT018	0.432166
PT19	0.341121
PT20	0.348044
PT22	0.159317
PT25	0.346868
PT26	0.256864
PT30	0.315996
PT32	0.092637
PT33	0.24025
PT34	0.346961
PT35	0.094781
PT36	0.314335
PT39	0.32904
PT40	0.370635
